user,use_tue_laptop,right_handed,platform,platform_version
1791,1,1,Windows,10
1793,0,1,Windows,10
1794,1,1,Windows,10
1795,0,1,Windows,10
1798,1,1,Windows,10
1799,1,1,Windows,10
1802,1,1,Windows,10
1804,0,1,Windows,10
1805,1,1,Windows,10
1806,1,1,Windows,10
1812,1,1,Windows,10
1815,0,0,Darwin,18.2.0
1823,1,1,Windows,10
1827,1,1,Windows,10
1830,1,1,Windows,10
1833,1,1,Windows,10
1835,1,1,Windows,10
1836,1,1,Windows,10
1840,1,1,Windows,10
1841,1,0,Windows,10
1842,1,1,Windows,10
1843,1,1,Windows,10
1845,1,1,Windows,10
1849,0,0,Windows,10
1850,1,0,Windows,10
1853,1,1,Windows,10
1855,1,1,Windows,10
1857,1,0,Windows,10
1858,1,0,Windows,10
1859,1,1,Windows,10
1860,0,1,Windows,10
1862,1,1,Windows,10
1864,1,1,Windows,10
1865,1,1,Windows,10
1866,1,1,Windows,10
1870,1,1,Windows,10
1872,1,1,Windows,10
1873,0,1,Windows,10
1874,1,1,Windows,10
1875,0,1,Windows,10
1878,0,1,Windows,10
1885,1,1,Windows,10
1893,1,1,Windows,10
1895,1,1,Windows,10
1898,1,1,Windows,10
1901,0,1,Windows,10
1902,1,1,Windows,10
1906,0,1,Windows,10
1908,1,1,Windows,10
1909,1,1,Windows,10
1913,1,1,Windows,10
1914,1,1,Windows,10
1915,1,1,Windows,10
1917,1,1,Windows,10
1918,1,1,Windows,10
1921,1,1,Windows,10
1927,1,1,Windows,10
1929,1,1,Windows,10
1930,1,1,Windows,10
1931,1,1,Windows,10
1933,1,1,Windows,10
1937,1,1,Windows,10
1938,1,1,Windows,10
1942,1,1,Windows,10
1944,1,1,Windows,10
1945,0,0,Windows,10
1953,1,0,Windows,10
1954,1,1,Windows,10
1955,1,1,Windows,10
1957,0,1,Windows,10
1958,1,1,Windows,10
1961,1,1,Windows,10
1962,1,1,Windows,10
1964,0,1,Darwin,15.6.0
1965,1,1,Windows,10
1968,1,1,Windows,10
1974,1,1,Windows,10
1978,0,1,Windows,10
1980,1,1,Windows,10
1981,1,1,Windows,10
1982,0,1,Windows,10
1984,0,1,Darwin,18.0.0
1985,1,1,Windows,10
1986,0,1,Darwin,18.2.0
1987,1,1,Windows,10
1989,1,1,Windows,10
1993,1,1,Windows,10
1995,1,1,Windows,10
1998,1,0,Windows,10
2000,1,1,Windows,10
2003,0,1,Darwin,18.2.0
2012,1,0,Windows,10
2013,0,1,Windows,10
2016,1,1,Windows,10
2017,1,1,Windows,10
2018,1,1,Windows,10
2019,1,1,Windows,10
2020,1,1,Windows,10
2027,1,0,Windows,10
2028,1,1,Windows,10
2032,1,1,Windows,10
2034,1,1,Windows,10
2047,1,1,Windows,10
2048,0,0,Windows,10
2049,1,1,Windows,10
2050,1,1,Windows,10
2052,1,1,Windows,10
2053,0,1,Darwin,16.7.0
2055,1,1,Windows,10
2056,1,1,Windows,10
2059,1,1,Windows,10
2061,1,0,Windows,10
2063,1,1,Windows,10
2065,1,1,Windows,10
2070,1,1,Windows,10
2072,1,1,Windows,10
2073,1,1,Windows,10
2076,0,1,Windows,10
2078,1,1,Windows,10
2079,1,1,Windows,10
2081,1,1,Windows,10
2084,0,1,Windows,10
2086,1,1,Windows,10
2088,0,0,Windows,10
2091,0,0,Darwin,17.7.0
2094,1,1,Windows,10
2099,1,1,Windows,10
2100,1,1,Windows,10
2106,1,0,Windows,10
2107,1,1,Windows,10
2108,0,1,Windows,10
2110,1,1,Windows,10
2112,1,1,Windows,10
2114,0,1,Windows,10
2117,1,1,Windows,10
2118,1,1,Windows,10
2119,1,1,Windows,10
2122,1,1,Windows,10
2123,1,1,Windows,10
2126,1,0,Windows,10
2132,1,1,Windows,10
2136,1,1,Windows,10
2140,1,1,Windows,10
2143,0,1,Windows,10
2144,1,1,Windows,10
2145,1,1,Windows,10
2147,1,1,Windows,10
2148,0,1,Windows,10
2150,1,1,Windows,10
2155,1,1,Windows,10
2157,1,1,Windows,10
2160,0,1,Windows,10
2164,1,1,Windows,10
2166,1,1,Windows,10
2169,1,1,Windows,10
2172,1,1,Windows,10
2175,1,1,Windows,10
2176,1,1,Windows,10
2178,1,1,Windows,10
2179,1,1,Windows,10
2180,1,1,Windows,10
2183,1,1,Windows,10
2187,1,0,Windows,10
2191,1,0,Windows,10
2193,1,1,Windows,10
2194,1,1,Windows,10
2197,1,1,Windows,10
2199,1,1,Windows,10
2201,1,1,Windows,10
2209,1,1,Windows,10
2210,1,1,Windows,10
2213,1,1,Windows,10
2215,1,0,Windows,10
2216,1,1,Windows,10
2218,1,1,Windows,10
2220,1,1,Windows,10
2221,1,1,Windows,10
2222,1,0,Windows,10
2224,1,1,Windows,10
2225,1,1,Windows,10
2226,1,1,Windows,10
2233,1,1,Windows,10
2242,1,1,Windows,10
2245,0,0,Windows,10
2247,1,1,Windows,10
2248,0,1,Windows,10
2249,1,1,Windows,10
2251,1,1,Windows,10
2256,1,1,Windows,10
2257,0,1,Darwin,18.0.0
2263,1,1,Windows,10
2267,0,1,Windows,7
2268,0,1,Linux,4.20.6-arch1-1-ARCH
2272,0,1,Windows,10
2273,1,1,Windows,10
2275,1,1,Windows,10
2279,0,1,Windows,10
2281,1,1,Windows,10
2284,1,1,Windows,10
2285,0,1,Darwin,18.2.0
2286,1,1,Windows,10
2290,1,1,Windows,10
2291,1,0,Windows,10
2293,1,0,Windows,10
2295,1,0,Windows,10
2298,1,1,Windows,10
2302,1,1,Windows,10
2303,1,1,Windows,10
2304,1,1,Windows,10
2305,1,1,Windows,10
2306,1,1,Windows,10
2307,1,1,Windows,10
